prefill_tp,decode_tp,prefill_workers,decode_workers,overlap_score_weight,completed_requests,output_throughput_tok_s,mean_output_token_throughput_per_user,mean_tpot_ms,mean_ttft_ms,mean_e2e_latency_ms,request_throughput_rps,prefix_cache_reused_ratio,wall_time_ms,router_mode,total_gpus_used,feasible,violation_penalty,objective,score
8,2,1,1,1.0,23608,301.8877730609147,4.040230767999951,261.77957438700065,7628.0474889041325,54399.24303678474,1.657504620876208,0.5234916528368048,150713.994345,kv_router,10,False,5.117368349225279,throughput,301.8877730609147
8,1,1,1,1.0,23608,221.23164259417575,0.9250332756574035,1116.930572970644,2172542.08791705,2374438.111802339,1.2146648609378727,0.5234916528368048,279501.05341,kv_router,9,False,673.749835208988,throughput,221.23164259417575
4,1,3,3,1.0,23608,302.34827530828136,5.2883335839434435,216.0276180010149,3645.908054517197,41049.43426591583,1.6600329929106068,0.5422621190991525,295444.675736,kv_router,15,False,2.9328399533093235,throughput,302.34827530828136
8,4,1,1,1.0,23608,303.14137309761645,18.058490773984445,65.0126994195967,6976.535176200292,18168.47704345185,1.6643874695338265,0.5234916528368048,334671.656737,kv_router,12,False,0.744133794050073,throughput,303.14137309761645
4,2,2,2,1.0,23608,302.8727219074611,14.57737627149699,86.43436531994594,5307.948035762272,19835.735717451542,1.6629124492487335,0.5377763813283924,477430.85814300005,kv_router,12,False,0.4794452132065141,throughput,302.8727219074611
8,8,1,1,1.0,23608,303.3568654247373,38.71745362110537,31.3369172090007,6871.958460086139,12076.509471470757,1.6655706228770195,0.5234916528368048,597298.062746,kv_router,16,False,0.7179896150215348,throughput,303.3568654247373
4,8,1,1,1.0,23608,269.75740424399663,41.24428094151435,30.109431161929013,1065366.4149806683,1070226.1494851739,1.4810939161811474,0.5234916528368048,670817.825399,kv_router,12,False,317.8529112194258,throughput,269.75740424399663
4,4,2,2,1.0,23608,303.33009375643815,40.29829215989123,31.28489276387801,5164.830700634378,10153.537761629972,1.6654236339365123,0.5374559714876239,1003829.073386,kv_router,16,False,0.2912076751585946,throughput,303.33009375643815
2,4,2,2,1.0,23608,297.3402298067485,40.19501019782832,31.59159418938923,337355.4467769373,342380.3956919938,1.6325364882453643,0.5132511524928708,1040198.2093260001,kv_router,12,False,99.45788147883401,throughput,297.3402298067485
2,8,1,1,1.0,23608,151.31886919997524,56.49147609796547,22.920692799269926,7647590.571512686,7651016.920742295,0.83081114011899,0.5234916528368048,1126220.864446,kv_router,10,False,2292.4484889152864,throughput,151.31886919997524
2,1,5,5,1.0,23608,303.12550165840486,18.143826892570658,78.00621359083574,4083.727886033227,16451.359292464735,1.664300327932938,0.5394768241053847,1139062.531091,kv_router,15,False,0.06101481938611664,throughput,303.12550165840486
2,2,4,4,1.0,23608,303.1132523333088,35.116393575144045,36.18833761665383,5194.103069248466,10921.026691620005,1.6642330734272537,0.532760832009905,1405341.2661269999,kv_router,16,False,0.29852576731211666,throughput,303.1132523333088
1,8,1,1,1.0,23608,81.76317724561841,65.7009038740354,19.85691004652827,20407978.904108845,20410859.533003297,0.44891796288413194,0.5234916528368048,1415913.9799930002,kv_router,9,False,6120.537702677376,throughput,81.76317724561841
1,2,5,5,1.0,23608,302.19704992893935,40.55253376601281,29.97411940125894,12968.507495838618,17796.59625384131,1.659202695073395,0.5171187767912819,1597175.793053,kv_router,15,False,2.2421268739596543,throughput,302.19704992893935
1,1,8,8,1.0,23608,302.38148519304383,30.623250264569716,39.561232570792946,5761.003539282541,12326.145240650025,1.6602153306611371,0.534312422971107,1599577.517401,kv_router,16,False,0.44025088482063524,throughput,302.38148519304383
1,4,3,3,1.0,23608,227.8235562369462,56.998246363429686,21.376321034516568,2549653.123549945,2553006.1952650575,1.2508575401329465,0.48364225571129654,1599960.551613,kv_router,15,False,763.0635906507391,throughput,227.8235562369462
2,1,7,2,1.0,23608,300.38329404293876,2.3033383329082975,464.88392703011175,4106.106339053055,87234.5343057823,1.649244329646052,0.5447799854069243,156787.924903,kv_router,16,False,8.58670566045387,throughput,300.38329404293876
2,1,6,4,1.0,23608,302.79575687584,11.216238185591394,120.87371697332625,3573.7618193545213,23518.414233858886,1.66248987534233,0.5403068621968246,668710.6381679999,kv_router,16,False,0.7875702713372943,throughput,302.79575687584
2,1,1,14,1.0,23608,151.2879206786437,38.91564015287653,26.291409030441457,7647557.641223671,7652252.001358126,0.8306412183079933,0.5234916528368048,1130009.875615,kv_router,16,False,2292.502010373824,throughput,151.2879206786437
2,1,2,12,1.0,23608,297.2215121243391,36.06830441436676,31.099500849536525,337325.7879669766,342573.94145814097,1.6318846728201217,0.5132511524928708,1380866.192391,kv_router,16,False,99.46014406465119,throughput,297.2215121243391
2,1,5,6,1.0,23608,303.09795500971524,23.24760898254293,58.72092742842623,4074.2269929382005,13362.414330727135,1.6641490839887738,0.5375846400063578,1423112.766603,kv_router,16,False,0.018556748234550113,throughput,303.09795500971524
2,1,3,10,1.0,23608,302.93192672216173,33.861759448621754,34.84795852787784,7973.0907439954635,13709.966023201752,1.6632375112840372,0.5297257687150657,1521477.4056250001,kv_router,16,False,0.9932726859988659,throughput,302.93192672216173
2,1,4,8,1.0,23608,303.0428605468283,29.910358621459615,42.09075186103484,5194.602564080374,11976.208068387003,1.6638465897012646,0.5314564864376423,1604437.460653,kv_router,16,False,0.2986506410200933,throughput,303.0428605468283
2,1,5,6,2.0,23608,303.11122235982384,23.229260224767344,58.60205523811807,4069.619819056101,13351.828327808935,1.6642219279264028,0.5374458798390958,1421501.974473,kv_router,16,False,0.01740495476402515,throughput,303.11122235982384
2,1,5,6,0.5,23608,303.12953631977655,23.300792581799314,58.56541151757951,4058.072733208514,13319.988993429779,1.6643224801049172,0.5382607804577434,1445730.22569,kv_router,16,False,0.014518183302128396,throughput,303.12953631977655
2,1,5,6,0.0,23608,302.98327237097794,23.895898125672325,54.79763027431057,8727.841140568175,17804.318200385347,1.6635194228345178,0.43683971274989714,1479785.882508,kv_router,16,False,1.1819602851420434,throughput,302.98327237097794
8,2,1,1,0.5,23608,301.8877730609147,4.040230767999904,261.7795743870005,7628.0474889041725,54399.2430367848,1.657504620876208,0.5234916528368048,148400.559047,kv_router,10,False,5.1173683492252895,throughput,301.8877730609147
8,1,1,1,0.5,23608,221.23164259417575,0.9250332756574865,1116.93057297064,2172542.087917056,2374438.111802353,1.2146648609378727,0.5234916528368048,284908.04900299996,kv_router,9,False,673.7498352089902,throughput,221.23164259417575
4,1,3,3,0.5,23608,302.0254091807247,5.300492068232248,215.8400496753352,3666.931971766545,41156.48683664837,1.6582603073429751,0.54083415083242,298069.82457,kv_router,15,False,2.9356916708368876,throughput,302.0254091807247
8,4,1,1,0.5,23608,303.14137309761645,18.05849077398225,65.01269941959656,6976.535176200253,18168.47704345186,1.6643874695338265,0.5234916528368048,340124.97584800003,kv_router,12,False,0.7441337940500632,throughput,303.14137309761645
4,2,2,2,0.5,23608,303.10271239059375,14.51475152112057,86.47775591846643,5339.34551135364,19894.47157357421,1.664175204227793,0.5368782246093876,480205.441875,kv_router,12,False,0.4878731234179623,throughput,303.10271239059375
8,8,1,1,0.5,23608,303.3568654247373,38.717453621103665,31.336917209000855,6871.958460086171,12076.509471470712,1.6655706228770195,0.5234916528368048,599693.079102,kv_router,16,False,0.7179896150215428,throughput,303.3568654247373
4,8,1,1,0.5,23608,269.75740424399663,41.244280941512905,30.109431161929145,1065366.4149806583,1070226.149485169,1.4810939161811474,0.5234916528368048,662888.695052,kv_router,12,False,317.85291121942305,throughput,269.75740424399663
4,4,2,2,0.5,23608,303.3152428489796,40.33926225986394,31.23082582216443,5183.703922897373,10158.235683045825,1.6653420955307425,0.536895884994312,999148.060803,kv_router,16,False,0.29592598072434306,throughput,303.3152428489796
2,4,2,2,0.5,23608,297.3402298067485,40.18073377716569,31.576416824753025,337355.4479186144,342376.81256150914,1.6325364882453643,0.5132511524928708,1045673.81153,kv_router,12,False,99.45770260772905,throughput,297.3402298067485
2,8,1,1,0.5,23608,151.31886919997524,56.49147609796524,22.92069279926988,7647590.571512716,7651016.920742301,0.83081114011899,0.5234916528368048,1115119.777449,kv_router,10,False,2292.448488915294,throughput,151.31886919997524
2,1,5,5,0.5,23608,302.9523355342287,18.180511048840607,77.76198715523498,4091.9128949063197,16414.447858629355,1.6633495651773254,0.5383995406250054,1139058.810296,kv_router,15,False,0.05980471912971286,throughput,302.9523355342287
2,2,4,4,0.5,23608,303.1094446802869,34.900761811187735,36.476796637891944,5157.777354975745,10936.741403300024,1.6642121676369515,0.5343502666530876,1413257.23432,kv_router,16,False,0.28944433874393627,throughput,303.1094446802869
1,8,1,1,0.5,23608,81.76317724561841,65.70090387402948,19.856910046528228,20407978.904108744,20410859.533003327,0.44891796288413194,0.5234916528368048,1428504.1945590002,kv_router,9,False,6120.537702677352,throughput,81.76317724561841
1,1,8,8,0.5,23608,302.39953702611774,30.540637947759834,39.72709249241734,5821.553906953632,12416.598437072878,1.6603144436408774,0.5310755267057049,1606201.486896,kv_router,16,False,0.455388476738408,throughput,302.39953702611774
1,2,5,5,0.5,23608,302.32149736218605,40.449067906095266,30.31268978226235,12837.977790578225,17698.8456410134,1.6598859695020713,0.5187283947315209,1608410.775511,kv_router,15,False,2.2094944476445564,throughput,302.32149736218605
1,4,3,3,0.5,23608,227.8235562369462,56.98941601902259,21.351403991895225,2549653.0585314548,2553002.965191674,1.2508575401329465,0.48364225571129654,1619564.1241910001,kv_router,15,False,763.0634128924474,throughput,227.8235562369462
2,1,7,2,0.5,23608,300.18031590344685,2.304588970823115,465.831621596374,4108.806386978314,87386.01949335687,1.6481298850273334,0.5472625309448478,157467.498407,kv_router,16,False,8.607590859364077,throughput,300.18031590344685
2,1,6,4,0.5,23608,302.9793104409497,11.226944587068811,120.9463485736538,3571.104699851073,23524.826888060932,1.663497669991523,0.541603639032691,671811.7103009999,kv_router,16,False,0.7888593253850973,throughput,302.9793104409497
2,1,1,14,0.5,23608,151.2879206786437,38.92475319858159,26.271773111387535,7647557.6307988735,7652249.699817006,0.8306412183079933,0.5234916528368048,1128703.076709,kv_router,16,False,2292.5018926905686,throughput,151.2879206786437
2,1,2,12,0.5,23608,297.2215121243391,36.080356930288886,31.14320399316384,337325.85495450767,342571.7692740162,1.6318846728201217,0.5132511524928708,1370280.14679,kv_router,16,False,99.46005220232773,throughput,297.2215121243391
2,1,3,10,0.5,23608,302.87223787613726,33.73901560628806,34.93395610632911,8043.483296094155,13819.933373540023,1.6629097916910998,0.5305810359278259,1515998.000766,kv_router,16,False,1.010870824023539,throughput,302.87223787613726
2,1,4,8,0.5,23608,302.94355902021726,29.925284300293296,42.26459768023133,5183.352873493633,11959.650144276811,1.663301378023597,0.533391560042914,1623210.059803,kv_router,16,False,0.29583821837340807,throughput,302.94355902021726
