family_slug,model_family,asset_type,page_status,provider,model_id,variant,variant_role,runtime,hardware,gpu_count,serving_techniques,workload_type,traffic_shape,deploy_path,perf_path,benchmark_asset,results_asset,placeholder_needed,comparison_question,held_constant,decision_signal,notes
deepseek-v4-pro,DeepSeek-V4-Pro,alternative_recipe_set,Experimental,DeepSeek,deepseek-ai/DeepSeek-V4-Pro,SGLang agg GB200,Deploy-only alternative,SGLang,8x GB200,8,Aggregated serving,Deployment only,Deployment validation,recipes/deepseek-v4/deepseek-v4-pro/sglang/agg-gb200/deploy.yaml,,None,Placeholder,benchmark instructions; expected results,"Which Day-0 backend and hardware target should serve DeepSeek-V4-Pro, and which path has benchmark coverage?","Same V4-Pro model, but variants differ by backend, hardware, topology, and benchmark availability.",GB200 SGLang aggregate path present in manifests but not benchmarked.,First launch can take 60-90 minutes depending on backend and hardware. | The GB200 vLLM paths rely on ComputeDomain/MNNVL placement; keep those prerequisites in front of users.
deepseek-v4-pro,DeepSeek-V4-Pro,alternative_recipe_set,Experimental,DeepSeek,deepseek-ai/DeepSeek-V4-Pro,SGLang disagg B200,Deploy-only alternative,SGLang,B200,,Disaggregated prefill/decode,Deployment only,Deployment validation,recipes/deepseek-v4/deepseek-v4-pro/sglang/disagg-b200/deploy.yaml,,None,Placeholder,benchmark instructions; expected results,"Which Day-0 backend and hardware target should serve DeepSeek-V4-Pro, and which path has benchmark coverage?","Same V4-Pro model, but variants differ by backend, hardware, topology, and benchmark availability.",Cluster-specific SGLang disagg path; keep as deploy-only until benchmark YAML lands.,First launch can take 60-90 minutes depending on backend and hardware. | The GB200 vLLM paths rely on ComputeDomain/MNNVL placement; keep those prerequisites in front of users.
deepseek-v4-pro,DeepSeek-V4-Pro,alternative_recipe_set,Experimental,DeepSeek,deepseek-ai/DeepSeek-V4-Pro,SGLang disagg GB200,Deploy-only alternative,SGLang,GB200,,Disaggregated prefill/decode,Deployment only,Deployment validation,recipes/deepseek-v4/deepseek-v4-pro/sglang/disagg-gb200/deploy.yaml,,None,Placeholder,benchmark instructions; expected results,"Which Day-0 backend and hardware target should serve DeepSeek-V4-Pro, and which path has benchmark coverage?","Same V4-Pro model, but variants differ by backend, hardware, topology, and benchmark availability.",GB200 SGLang disagg path with cluster-specific notes.,First launch can take 60-90 minutes depending on backend and hardware. | The GB200 vLLM paths rely on ComputeDomain/MNNVL placement; keep those prerequisites in front of users.
deepseek-v4-flash,DeepSeek-V4-Flash,deploy_only_set,Deploy only,DeepSeek,deepseek-ai/DeepSeek-V4-Flash,vLLM agg B200,Deploy-only alternative,vLLM,4x B200,4,Aggregated serving; Expert parallel / MoE,Deployment only,Deployment validation,recipes/deepseek-v4/deepseek-v4-flash/vllm/agg_b200/deploy.yaml,,None,Placeholder,benchmark instructions; expected results,Which aggregate DeepSeek-V4-Flash manifest matches the backend and Blackwell hardware target?,"Same V4-Flash model; all rows are single-replica, four-GPU aggregate deployments with no perf.yaml today.",DP=4 + expert parallel path for B200.,This page should not show a Benchmark action as if it is runnable; the benchmark section is an explicit placeholder. | Reasoning and tool-call verification are still real because parser flags are in the manifests.
deepseek-v4-flash,DeepSeek-V4-Flash,deploy_only_set,Deploy only,DeepSeek,deepseek-ai/DeepSeek-V4-Flash,vLLM agg GB200,Deploy-only alternative,vLLM,4x GB200,4,Aggregated serving; Expert parallel / MoE,Deployment only,Deployment validation,recipes/deepseek-v4/deepseek-v4-flash/vllm/agg_gb200/deploy.yaml,,None,Placeholder,benchmark instructions; expected results,Which aggregate DeepSeek-V4-Flash manifest matches the backend and Blackwell hardware target?,"Same V4-Flash model; all rows are single-replica, four-GPU aggregate deployments with no perf.yaml today.",TP=4 + expert parallel path for one GB200 NVL4 tray.,This page should not show a Benchmark action as if it is runnable; the benchmark section is an explicit placeholder. | Reasoning and tool-call verification are still real because parser flags are in the manifests.
deepseek-v4-flash,DeepSeek-V4-Flash,deploy_only_set,Deploy only,DeepSeek,deepseek-ai/DeepSeek-V4-Flash,SGLang agg B200,Deploy-only alternative,SGLang,4x B200,4,Aggregated serving; Expert parallel / MoE,Deployment only,Deployment validation,recipes/deepseek-v4/deepseek-v4-flash/sglang/agg/deploy.yaml,,None,Placeholder,benchmark instructions; expected results,Which aggregate DeepSeek-V4-Flash manifest matches the backend and Blackwell hardware target?,"Same V4-Flash model; all rows are single-replica, four-GPU aggregate deployments with no perf.yaml today.",SGLang TP4 with MXFP4 MoE and EAGLE MTP.,This page should not show a Benchmark action as if it is runnable; the benchmark section is an explicit placeholder. | Reasoning and tool-call verification are still real because parser flags are in the manifests.
deepseek-v4-flash,DeepSeek-V4-Flash,deploy_only_set,Deploy only,DeepSeek,deepseek-ai/DeepSeek-V4-Flash,SGLang agg GB200,Deploy-only alternative,SGLang,4x GB200,4,Aggregated serving,Deployment only,Deployment validation,recipes/deepseek-v4/deepseek-v4-flash/sglang/agg-gb200/deploy.yaml,,None,Placeholder,benchmark instructions; expected results,Which aggregate DeepSeek-V4-Flash manifest matches the backend and Blackwell hardware target?,"Same V4-Flash model; all rows are single-replica, four-GPU aggregate deployments with no perf.yaml today.",Arm64 GB200 sibling for SGLang aggregate deployment.,This page should not show a Benchmark action as if it is runnable; the benchmark section is an explicit placeholder. | Reasoning and tool-call verification are still real because parser flags are in the manifests.
llama-3-3-70b,Llama-3.3-70B FP8,comparative_recipe,Preview,Meta / Red Hat,RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,vLLM aggregated,Baseline,vLLM,4x H100/H200,4,Aggregated serving,Long output / static ISL-OSL,8K ISL / 1K OSL,recipes/llama-3-70b/vllm/agg/deploy.yaml,recipes/llama-3-70b/vllm/agg/perf.yaml,perf.yaml,Placeholder,expected results,"How do aggregate, single-node disaggregated, and multi-node disaggregated vLLM shapes differ for the same 8K/1K static benchmark?","Model, vLLM runtime, H100/H200 family, ISL=8192, OSL=1024, and concurrency-per-GPU=16.",Single-node TP4 baseline and smallest hardware footprint.,"GAIE manifests are optional integration artifacts, not separate recipe variants. | The README is thin; this page avoids claims beyond the manifest and perf YAML."
llama-3-3-70b,Llama-3.3-70B FP8,comparative_recipe,Preview,Meta / Red Hat,RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,vLLM disagg single-node,Treatment,vLLM,8x H100/H200,8,Disaggregated prefill/decode,Long output / static ISL-OSL,Same static shape,recipes/llama-3-70b/vllm/disagg-single-node/deploy.yaml,recipes/llama-3-70b/vllm/disagg-single-node/perf.yaml,perf.yaml,Placeholder,expected results,"How do aggregate, single-node disaggregated, and multi-node disaggregated vLLM shapes differ for the same 8K/1K static benchmark?","Model, vLLM runtime, H100/H200 family, ISL=8192, OSL=1024, and concurrency-per-GPU=16.",P/D split within one node; compare latency against aggregate baseline.,"GAIE manifests are optional integration artifacts, not separate recipe variants. | The README is thin; this page avoids claims beyond the manifest and perf YAML."
llama-3-3-70b,Llama-3.3-70B FP8,comparative_recipe,Preview,Meta / Red Hat,RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,vLLM disagg multi-node,Scale-out treatment,vLLM,16x H100/H200,16,Disaggregated prefill/decode,Long output / static ISL-OSL,Same static shape,recipes/llama-3-70b/vllm/disagg-multi-node/deploy.yaml,recipes/llama-3-70b/vllm/disagg-multi-node/perf.yaml,perf.yaml,Placeholder,expected results,"How do aggregate, single-node disaggregated, and multi-node disaggregated vLLM shapes differ for the same 8K/1K static benchmark?","Model, vLLM runtime, H100/H200 family, ISL=8192, OSL=1024, and concurrency-per-GPU=16.",Two-node disaggregated capacity shape.,"GAIE manifests are optional integration artifacts, not separate recipe variants. | The README is thin; this page avoids claims beyond the manifest and perf YAML."
nemotron-3-nano-omni,Nemotron 3 Nano Omni NVFP4,standalone_deploy_only_recipe,Deploy only,NVIDIA,nvidia/Nemotron-3-Nano-Omni-30B-A3B-Reasoning-NVFP4,vLLM aggregated multimodal,Recipe,vLLM,1 GPU,1,Aggregated serving,Deployment only,Deployment validation,recipes/nemotron-3-nano-omni/vllm/agg/deploy.yaml,,None,Placeholder,benchmark instructions; expected results,How do you build and deploy the custom vLLM image for a single-GPU multimodal Nemotron Nano Omni worker?,"Single aggregate vLLM deployment with custom container build, model-cache PVC, and multimodal smoke tests.",Use for functional multimodal deployment; add perf.yaml before making performance claims.,"The build step is not optional: deploy.yaml contains image placeholders for the custom vLLM+Dynamo image. | Optional no-NATS settings belong in configuration notes, not in the main happy path."
nemotron-3-super-fp8,Nemotron-3-Super FP8,deploy_only_set,Deploy only,NVIDIA,nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-FP8,vLLM aggregated,Deploy-only alternative,vLLM,4x H100/H200,4,Aggregated serving; KV-aware routing; Expert parallel / MoE,Deployment only,Deployment validation,recipes/nemotron-3-super-fp8/vllm/agg/deploy.yaml,,None,Placeholder,benchmark instructions; expected results,"Which backend path should serve Nemotron-3-Super FP8 today, given hybrid Mamba/Attention/MoE cache constraints?",Same model and 4x H100/H200 target; no perf.yaml files are checked in for this family.,TP4 aggregate path with approximate KV-aware routing and Mamba cache workaround.,"Do not turn backend notes into performance claims until benchmark assets exist. | Older Dynamo 0.9.1 compatibility notes should be kept as caveats, not the main path."
nemotron-3-super-fp8,Nemotron-3-Super FP8,deploy_only_set,Deploy only,NVIDIA,nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-FP8,TensorRT-LLM disaggregated,Deploy-only alternative,TRT-LLM,4x H100/H200,4,Aggregated serving; Disaggregated prefill/decode; Expert parallel / MoE,Deployment only,Deployment validation,recipes/nemotron-3-super-fp8/trtllm/disagg/deploy.yaml,,None,Placeholder,benchmark instructions; expected results,"Which backend path should serve Nemotron-3-Super FP8 today, given hybrid Mamba/Attention/MoE cache constraints?",Same model and 4x H100/H200 target; no perf.yaml files are checked in for this family.,P/D split using UCX transfer because hybrid cache state is not NIXL/Mooncake-safe here.,"Do not turn backend notes into performance claims until benchmark assets exist. | Older Dynamo 0.9.1 compatibility notes should be kept as caveats, not the main path."
nemotron-3-super-fp8,Nemotron-3-Super FP8,deploy_only_set,Deploy only,NVIDIA,nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-FP8,SGLang aggregated,Deploy-only alternative,SGLang,4x H100/H200,4,Aggregated serving; Expert parallel / MoE,Deployment only,Deployment validation,recipes/nemotron-3-super-fp8/sglang/agg/deploy.yaml,,None,Placeholder,benchmark instructions; expected results,"Which backend path should serve Nemotron-3-Super FP8 today, given hybrid Mamba/Attention/MoE cache constraints?",Same model and 4x H100/H200 target; no perf.yaml files are checked in for this family.,TP4 aggregate SGLang path; verify against current Dynamo image before claiming support.,"Do not turn backend notes into performance claims until benchmark assets exist. | Older Dynamo 0.9.1 compatibility notes should be kept as caveats, not the main path."
nemotron-3-super-fp8,Nemotron-3-Super FP8,deploy_only_set,Deploy only,NVIDIA,nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-FP8,SGLang disaggregated,Deploy-only alternative,SGLang,4x H100/H200,4,Aggregated serving; Disaggregated prefill/decode; Expert parallel / MoE,Deployment only,Deployment validation,recipes/nemotron-3-super-fp8/sglang/disagg/deploy.yaml,,None,Placeholder,benchmark instructions; expected results,"Which backend path should serve Nemotron-3-Super FP8 today, given hybrid Mamba/Attention/MoE cache constraints?",Same model and 4x H100/H200 target; no perf.yaml files are checked in for this family.,P/D split with nixl transfer in the README; no benchmark coverage today.,"Do not turn backend notes into performance claims until benchmark assets exist. | Older Dynamo 0.9.1 compatibility notes should be kept as caveats, not the main path."
qwen3-235b-a22b-fp8,Qwen3-235B-A22B FP8,alternative_recipe_set,Preview,Qwen,Qwen/Qwen3-235B-A22B-FP8,Aggregated Hopper,Hardware alternative,TRT-LLM,16x H100/H200,16,Aggregated serving; Expert parallel / MoE,Static ISL-OSL,4K ISL / 200 OSL,recipes/qwen3-235b-a22b-fp8/trtllm/agg/hopper/deploy.yaml,recipes/qwen3-235b-a22b-fp8/trtllm/agg/hopper/perf.yaml,perf.yaml,Placeholder,expected results,Which TensorRT-LLM variant matches the hardware architecture and desired aggregate/P-D serving mode?,"Same model, TensorRT-LLM backend, 16-GPU size, ISL=4000, OSL=200, and concurrency-per-GPU=2. Hardware-specific MoE backend differs.",Use on Hopper; default MoE backend.,"This is primarily a hardware-choice page; Hopper and Blackwell require separate MoE backend handling. | The Blackwell aggregate row is subtly highlighted as the likely modern default, but owners may choose to remove that recommendation."
qwen3-235b-a22b-fp8,Qwen3-235B-A22B FP8,alternative_recipe_set,Preview,Qwen,Qwen/Qwen3-235B-A22B-FP8,Aggregated Blackwell,Hardware alternative,TRT-LLM,16x B100/B200,16,Aggregated serving; Expert parallel / MoE,Static ISL-OSL,Same static shape,recipes/qwen3-235b-a22b-fp8/trtllm/agg/blackwell/deploy.yaml,recipes/qwen3-235b-a22b-fp8/trtllm/agg/blackwell/perf.yaml,perf.yaml,Placeholder,expected results,Which TensorRT-LLM variant matches the hardware architecture and desired aggregate/P-D serving mode?,"Same model, TensorRT-LLM backend, 16-GPU size, ISL=4000, OSL=200, and concurrency-per-GPU=2. Hardware-specific MoE backend differs.",Use on Blackwell; DEEPGEMM MoE backend.,"This is primarily a hardware-choice page; Hopper and Blackwell require separate MoE backend handling. | The Blackwell aggregate row is subtly highlighted as the likely modern default, but owners may choose to remove that recommendation."
qwen3-235b-a22b-fp8,Qwen3-235B-A22B FP8,alternative_recipe_set,Preview,Qwen,Qwen/Qwen3-235B-A22B-FP8,Disaggregated Hopper,Technique alternative,TRT-LLM,16x H100/H200,16,Aggregated serving; Disaggregated prefill/decode,Static ISL-OSL,Same static shape,recipes/qwen3-235b-a22b-fp8/trtllm/disagg/hopper/deploy.yaml,recipes/qwen3-235b-a22b-fp8/trtllm/disagg/hopper/perf.yaml,perf.yaml,Placeholder,expected results,Which TensorRT-LLM variant matches the hardware architecture and desired aggregate/P-D serving mode?,"Same model, TensorRT-LLM backend, 16-GPU size, ISL=4000, OSL=200, and concurrency-per-GPU=2. Hardware-specific MoE backend differs.",Use to test P/D separation on Hopper.,"This is primarily a hardware-choice page; Hopper and Blackwell require separate MoE backend handling. | The Blackwell aggregate row is subtly highlighted as the likely modern default, but owners may choose to remove that recommendation."
qwen3-235b-a22b-fp8,Qwen3-235B-A22B FP8,alternative_recipe_set,Preview,Qwen,Qwen/Qwen3-235B-A22B-FP8,Disaggregated Blackwell,Technique alternative,TRT-LLM,16x B100/B200,16,Aggregated serving; Disaggregated prefill/decode; Expert parallel / MoE,Static ISL-OSL,Same static shape,recipes/qwen3-235b-a22b-fp8/trtllm/disagg/blackwell/deploy.yaml,recipes/qwen3-235b-a22b-fp8/trtllm/disagg/blackwell/perf.yaml,perf.yaml,Placeholder,expected results,Which TensorRT-LLM variant matches the hardware architecture and desired aggregate/P-D serving mode?,"Same model, TensorRT-LLM backend, 16-GPU size, ISL=4000, OSL=200, and concurrency-per-GPU=2. Hardware-specific MoE backend differs.",Use to test P/D separation on Blackwell with the required MoE backend.,"This is primarily a hardware-choice page; Hopper and Blackwell require separate MoE backend handling. | The Blackwell aggregate row is subtly highlighted as the likely modern default, but owners may choose to remove that recommendation."
qwen3-32b-fp8,Qwen3-32B FP8,alternative_recipe_set,Preview,Qwen,Qwen/Qwen3-32B-FP8,TRT-LLM aggregated,Smallest FP8 path,TRT-LLM,2x GPU,2,Aggregated serving,Static ISL-OSL,4K ISL / 500 OSL,recipes/qwen3-32b-fp8/trtllm/agg/deploy.yaml,recipes/qwen3-32b-fp8/trtllm/agg/perf.yaml,perf.yaml,Placeholder,expected results,Which FP8 backend and P/D shape should serve Qwen3-32B when a smaller quantized footprint matters?,"Same FP8 model family, but variants differ by backend, GPU count, and benchmark shape.",Smallest checked-in FP8 deployment footprint; TP2 aggregate.,This page is the FP8 alternative to the BF16 Qwen3-32B comparison page. | Normalize traffic before making backend performance claims.
qwen3-32b-fp8,Qwen3-32B FP8,alternative_recipe_set,Preview,Qwen,Qwen/Qwen3-32B-FP8,TRT-LLM disaggregated,Technique alternative,TRT-LLM,8x GPU,8,Aggregated serving; Disaggregated prefill/decode,Static ISL-OSL,4K ISL / 500 OSL,recipes/qwen3-32b-fp8/trtllm/disagg/deploy.yaml,recipes/qwen3-32b-fp8/trtllm/disagg/perf.yaml,perf.yaml,Placeholder,expected results,Which FP8 backend and P/D shape should serve Qwen3-32B when a smaller quantized footprint matters?,"Same FP8 model family, but variants differ by backend, GPU count, and benchmark shape.",P/D split for TensorRT-LLM FP8 serving.,This page is the FP8 alternative to the BF16 Qwen3-32B comparison page. | Normalize traffic before making backend performance claims.
qwen3-32b-fp8,Qwen3-32B FP8,alternative_recipe_set,Preview,Qwen,Qwen/Qwen3-32B-FP8,vLLM disaggregated,Backend alternative,vLLM,8x GPU,8,Aggregated serving; Disaggregated prefill/decode,Static ISL-OSL,2K ISL / 500 OSL,recipes/qwen3-32b-fp8/vllm/disagg/deploy.yaml,recipes/qwen3-32b-fp8/vllm/disagg/perf.yaml,perf.yaml,Placeholder,expected results,Which FP8 backend and P/D shape should serve Qwen3-32B when a smaller quantized footprint matters?,"Same FP8 model family, but variants differ by backend, GPU count, and benchmark shape.",vLLM P/D split with NIXL connector; traffic shape differs from TRT rows.,This page is the FP8 alternative to the BF16 Qwen3-32B comparison page. | Normalize traffic before making backend performance claims.
qwen3-6-35b,Qwen3.6-35B-A3B FP8,comparative_recipe,Verified,Qwen,Qwen/Qwen3.6-35B-A3B-FP8,vanilla vLLM serve,Baseline,vLLM,1x H100 or GB200,1,Aggregated serving,Multimodal reuse,Sliding-window multimodal JSONL,recipes/qwen3.6-35b/deploy/vllm-serve.yaml,recipes/qwen3.6-35b/perf.yaml,perf.yaml,Placeholder,expected results,How much do Dynamo frontend decoding and embedding cache change a single-GPU multimodal sliding-window benchmark versus vanilla vLLM serve?,"Model, one-GPU hardware target selected by script, generated sliding-window dataset, request count, and shared perf.yaml template.",Plain vLLM baseline outside DynamoGraphDeployment.,"This recipe uses scripts intentionally because one shared perf.yaml is parameterized by BENCH_POD, BENCH_FRONTEND, and BENCH_RUN_LABEL. | Keep the script path visible rather than forcing it into simple kubectl-only instructions."
qwen3-6-35b,Qwen3.6-35B-A3B FP8,comparative_recipe,Verified,Qwen,Qwen/Qwen3.6-35B-A3B-FP8,Dynamo frontend decoding,Treatment,Dynamo + vLLM,1x H100 or GB200,1,Frontend decoding,Multimodal reuse,Same generated dataset,recipes/qwen3.6-35b/deploy/dynamo-fd.yaml,recipes/qwen3.6-35b/perf.yaml,perf.yaml,Placeholder,expected results,How much do Dynamo frontend decoding and embedding cache change a single-GPU multimodal sliding-window benchmark versus vanilla vLLM serve?,"Model, one-GPU hardware target selected by script, generated sliding-window dataset, request count, and shared perf.yaml template.",Tests Dynamo frontend decoding with multimodal processing on and embedding cache off.,"This recipe uses scripts intentionally because one shared perf.yaml is parameterized by BENCH_POD, BENCH_FRONTEND, and BENCH_RUN_LABEL. | Keep the script path visible rather than forcing it into simple kubectl-only instructions."
qwen3-6-35b,Qwen3.6-35B-A3B FP8,comparative_recipe,Verified,Qwen,Qwen/Qwen3.6-35B-A3B-FP8,Dynamo FD + embedding cache,Recommended treatment,Dynamo + vLLM,1x H100 or GB200,1,Embedding cache; Frontend decoding,Multimodal reuse,Same generated dataset,recipes/qwen3.6-35b/deploy/dynamo-fd-ec.yaml,recipes/qwen3.6-35b/perf.yaml,perf.yaml,Placeholder,expected results,How much do Dynamo frontend decoding and embedding cache change a single-GPU multimodal sliding-window benchmark versus vanilla vLLM serve?,"Model, one-GPU hardware target selected by script, generated sliding-window dataset, request count, and shared perf.yaml template.",Tests frontend decoding plus 8 GiB multimodal embedding cache.,"This recipe uses scripts intentionally because one shared perf.yaml is parameterized by BENCH_POD, BENCH_FRONTEND, and BENCH_RUN_LABEL. | Keep the script path visible rather than forcing it into simple kubectl-only instructions."
