backend,window_ms,offered_block_ops_s,achieved_block_ops_s_mean,achieved_block_ops_s_ci_low,achieved_block_ops_s_ci_high,achieved_mixed_ops_s_mean,lookup_service_p50_us_mean,lookup_service_p99_us_mean,query_wait_p99_us_mean,issue_lag_p99_us_mean,scheduled_completion_p99_us_mean,update_apply_p99_us_mean,update_visible_p99_us_mean,all_keep_up,generator_valid,maximum_update_queue_at_stop,maximum_query_queue_at_stop,maximum_update_queue,maximum_query_queue,maximum_drain_ms,crtc_raw_events,crtc_raw_blocks,ckf_frames,ckf_dirty_buckets,ckf_bytes,ckf_router_ingress_mib_s_mean,ckf_apply_mib_s_mean,ckf_full_apply_mib_s_mean,ckf_delta_apply_mib_s_mean,relay_publication_bytes,relay_generation_events_s,relay_generation_mib_s,relay_full_generation_mib_s,relay_delta_generation_mib_s,full_publications,delta_publications,unchanged_publications,generation_conflicts,native_fallbacks,repeated_fallbacks,accuracy_checked,accuracy_inflated,accuracy_maximum_inflation,accuracy_under_reported,accuracy_full_map_mismatches,accuracy_wrong_best_dc,pipeline_errors,ratio_to_crtc,ratio_ci_low,ratio_ci_high,paired_repetitions,comparison_generator_valid
crtc,24000,3315697.4583333335,3315314.179823959,3315246.923059211,3315381.4365887064,109021.18789033708,2.4188,10.2412,198.862,3423.6674,2887.5828,5750.2902,7272.553,True,True,0,0,1340,609,1.924568,2144651,46828259,0,0,0,0.0,0.0,0.0,0.0,714220824,32115.523517065598,10.19978392599761,0.0,10.19978392599761,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,5,True
crtc,12000,6631394.916666667,6629986.289022679,6629574.532637042,6630398.045408317,218021.26185346357,2.401,10.2574,190.70839999999998,3621.8298000000004,3073.034,7089.909,8646.5712,True,True,0,0,2571,493,1.972157,2144651,46828259,0,0,0,0.0,0.0,0.0,0.0,714220824,32115.523517065598,10.19978392599761,0.0,10.19978392599761,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,5,True
crtc,6000,13262789.833333334,13255174.331748907,13253589.291532537,13256759.371965276,435884.7376020043,2.3102,9.441999999999998,159.39079999999998,16599.301,14605.222399999999,26409.1246,32534.451,True,True,371,0,3106,450,3.5241399999999996,2144651,46828259,0,0,0,0.0,0.0,0.0,0.0,714220824,32115.523517065598,10.19978392599761,0.0,10.19978392599761,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,5,True
crtc,3000,26525579.666666668,16415666.633600721,16223129.660330301,16608203.606871141,539814.7443455723,2.3,9.4162,157.1806,1813029.8372000002,1812070.2982,73819.0406,1829247.003,False,False,7333,0,6878,711,26.646102000000003,2144651,46828259,0,0,0,0.0,0.0,0.0,0.0,714220824,32115.523517065598,10.19978392599761,0.0,10.19978392599761,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,5,False
crtc,1500,53051159.333333336,16425788.037107304,16350782.862625146,16500793.211589461,540147.5777886652,2.3028,9.5036,159.1704,3291576.4066,3290281.2622,82384.914,3307564.0236,False,False,7767,0,6409,711,29.397472,2144651,46828259,0,0,0,0.0,0.0,0.0,0.0,714220824,32115.523517065598,10.19978392599761,0.0,10.19978392599761,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,5,False
crtc,750,106102318.66666667,16270955.2848653,16115312.4915264,16426598.078204198,535056.0390511056,2.3122,9.598400000000002,162.52280000000002,4081927.4762000004,4080782.5268,87693.9446,4096464.886,False,False,6132,0,7932,465,20.492045,2144651,46828259,0,0,0,0.0,0.0,0.0,0.0,714220824,32115.523517065598,10.19978392599761,0.0,10.19978392599761,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,5,False
ckf-native,24000,3315697.4583333335,3315070.0227818317,3315015.9107307773,3315124.134832886,109013.15900097073,20.6694,244.7434,1713.9614000000001,2213.0912,3088.4416,1221.836,3005.7408,True,True,0,0,726,760,3.697131,0,0,2144651,48795147,714220824,28.37521515984836,138.25827862053887,0.0,138.25827862053887,714220824,32115.523517065598,10.19978392599761,0.0,10.19978392599761,0,2144651,0,0,0,0,66048,5,1,0,0,4,0,0.9999263548176626,0.9999155754711762,0.9999371342803531,5,True
ckf-native,12000,6631394.916666667,6629013.287370585,6628789.337081761,6629237.237659409,217989.2655507975,22.3566,239.99,1735.2556,2157.284,3018.6748,1333.2838,3033.8884,True,True,0,0,835,763,3.8147569999999997,0,0,2144651,48795147,714220824,56.74078587600714,138.00030828315596,0.0,138.00030828315596,714220824,32115.523517065598,10.19978392599761,0.0,10.19978392599761,0,2144651,0,0,0,0,66048,5,1,0,0,4,0,0.9998532429876534,0.9997731686642438,0.999933323724415,5,True
ckf-native,6000,13262789.833333334,13253176.658883022,13251374.977628361,13254978.340137683,435819.04588862753,23.4144,233.2614,1727.5542,2125.5466,2978.8698,2109.2074000000002,3551.8376000000003,True,True,0,0,2493,745,3.654356,0,0,2144651,48795147,714220824,113.44005908258757,140.2486913186598,0.0,140.2486913186598,714220824,32115.523517065598,10.19978392599761,0.0,10.19978392599761,0,2144651,0,0,0,0,66048,5,1,0,0,4,0,0.9998492900053029,0.9996217073283977,1.0000769244956835,5,True
ckf-native,3000,26525579.666666668,26479650.092607163,26467344.313059136,26491955.87215519,870759.9797283154,25.0198,215.11039999999997,1779.7162,2184.176,3018.7666,12919.6076,13885.924799999999,True,True,0,0,3118,1416,5.561548,0,0,2144651,48795147,714220824,226.65155293001027,142.92282514793487,0.0,142.92282514793487,714220824,32115.523517065598,10.19978392599761,0.0,10.19978392599761,0,2144651,0,0,0,0,66048,5,1,0,0,4,0,1.613129242476369,1.594212629999675,1.632270315743838,5,False
ckf-native,1500,53051159.333333336,32119754.68093844,31665023.325478643,32574486.03639824,1056229.8533794053,23.6792,152.6998,3409.3994,9730.339600000001,9578.1206,1035728.4880000001,1036541.4638,False,True,933883,35,131770,3479,1012.697789,0,0,2144651,48795147,714220824,274.927812592137,161.43744364085313,0.0,161.43744364085313,714220824,32115.523517065598,10.19978392599761,0.0,10.19978392599761,0,2144651,0,0,0,0,66048,5,1,0,0,4,0,1.9553558058626188,1.9230817423977389,1.9881715078598456,5,False
ckf-native,750,106102318.66666667,32561550.12962227,32154540.120713085,32968560.138531454,1070757.9077379254,23.827199999999998,152.5096,31931.051199999998,384414.975,402408.1522,1335022.4774,1700687.435,False,False,1334664,39667,173777,42148,1419.176407,0,0,2144651,48795147,714220824,278.7093438499672,166.44424009370007,0.0,166.44424009370007,714220824,32115.523517065598,10.19978392599761,0.0,10.19978392599761,0,2144651,0,0,0,0,66048,5,1,0,0,4,0,2.001172949836945,1.9758872867872428,2.0267821965040627,5,False
ckf-transposed,24000,3315697.4583333335,3315084.1844389783,3315038.6045525125,3315129.764325444,109013.62469459759,23.29,388.1898,2052.986,2155.0842000000002,3446.3082000000004,1397.5783999999999,2912.0134,True,True,0,0,726,713,3.883493,0,0,2144651,48795147,714220824,28.37533637601145,114.29739788273449,0.0,114.29739788273449,714220824,32115.523517065598,10.19978392599761,0.0,10.19978392599761,0,2144651,0,763133,763133,0,66048,5,1,0,0,4,0,0.999930626426014,0.9998975973749797,0.9999636565680783,5,True
ckf-transposed,12000,6631394.916666667,6628717.302982023,6628471.190877427,6628963.415086619,217979.5323647742,25.841199999999997,387.5444,2114.5284,2144.978,3426.3884,1504.1546,2910.54,True,True,0,0,788,753,4.032412,0,0,2144651,48795147,714220824,56.738252408945606,113.3928674065996,0.0,113.3928674065996,714220824,32115.523517065598,10.19978392599761,0.0,10.19978392599761,0,2144651,0,875888,875888,0,66048,5,1,0,0,4,0,0.9998085996378937,0.999756768173157,0.9998604337897847,5,True
ckf-transposed,6000,13262789.833333334,13253593.569588676,13252573.262323398,13254613.876853954,435832.7556301209,29.4038,381.15999999999997,2217.1315999999997,2076.403,3432.097,1793.2626,3033.0701999999997,True,True,0,0,1896,898,3.738178,0,0,2144651,48795147,714220824,113.44362761383852,113.52703990901651,0.0,113.52703990901651,714220824,32115.523517065598,10.19978392599761,0.0,10.19978392599761,0,2144651,0,1059121,1059121,0,66048,5,1,0,0,4,0,0.9998807459395816,0.9997332460723608,1.0000282675688186,5,True
ckf-transposed,3000,26525579.666666668,26484478.69944196,26470526.636339813,26498430.762544103,870918.764212811,37.2266,374.0004,3600.3550000000005,2104.0826,4526.6596,5369.4812,6405.128,True,True,0,0,2775,1405,5.569523,0,0,2144651,48795147,714220824,226.69288320566596,110.68008313630341,0.0,110.68008313630341,714220824,32115.523517065598,10.19978392599761,0.0,10.19978392599761,0,2144651,0,1395507,1395507,0,66048,5,1,0,0,4,0,1.6134233733705425,1.5951082428441932,1.6319487993471864,5,False
ckf-transposed,1500,53051159.333333336,44405520.821973324,44225074.70687136,44585966.93707529,1460236.456129081,22.8918,341.9114,689549.111,2531.051,690527.1412000001,110881.17280000001,111686.8128,False,True,131622,223229,24183,224123,297.908866,0,0,2144651,48795147,714220824,380.08735832110125,115.7914915206286,0.0,115.7914915206286,714220824,32115.523517065598,10.19978392599761,0.0,10.19978392599761,0,2144651,0,1364221,1364221,0,66048,5,1,0,0,4,0,2.7034058106235515,2.684209209371011,2.7227396997962594,5,False
ckf-transposed,750,106102318.66666667,44823528.70815019,41839095.322188325,47807962.09411206,1473982.2774379232,25.538800000000002,329.56219999999996,1024218.3585999999,167074.3708,1135151.2755999998,662726.801,828193.5220000001,False,False,979392,352709,127094,352710,927.133921,0,0,2144651,48795147,714220824,383.6652808468006,117.31066155119788,0.0,117.31066155119788,714220824,32115.523517065598,10.19978392599761,0.0,10.19978392599761,0,2144651,0,1927194,1927194,0,66048,5,1,0,0,4,0,2.751591286506875,2.546914410651974,2.972716545289179,5,False
